,label,area,equivalent_diameter,mean_intensity,solidity,area_sq_microns,equivalent_diameter_microns
80,81,5621.0,84.59834206978498,112.31649172745063,0.7712678375411636,2023.56,50.75900524187099
82,83,231.0,17.14987856615383,111.54545454545455,0.9314516129032258,83.16,10.289927139692297
83,84,1118.0,37.72905791315113,113.35152057245081,0.8208516886930984,402.47999999999996,22.637434747890676
85,86,4063.0,71.92476812794717,118.65887275412257,0.8024886430969781,1462.6799999999998,43.1548608767683
86,87,3016.0,61.968463486851526,116.9210875331565,0.9122807017543859,1085.76,37.181078092110916
88,89,2094.0,51.63490686227129,102.05587392550143,0.9539863325740319,753.8399999999999,30.980944117362775
90,91,81.0,10.155412503859614,133.93827160493828,0.5510204081632653,29.16,6.093247502315768
94,95,373.0,21.792621462004423,131.7265415549598,0.6985018726591761,134.28,13.075572877202653
97,98,13908.0,133.0722194455952,116.23044291055507,0.5933447098976109,5006.88,79.84333166735712
98,99,321.0,20.216574731145414,131.82554517133957,0.6800847457627118,115.56,12.129944838687248
102,103,727.0,30.424416987387996,123.46629986244842,0.8801452784503632,261.71999999999997,18.2546501924328
103,104,1042.0,36.424107478619696,109.55278310940498,0.9196822594880847,375.12,21.854464487171818
104,105,2479.0,56.18149901345165,109.61395724082291,0.9509014192558496,892.4399999999999,33.70889940807099
107,108,1225.0,39.493270848342945,124.29306122448979,0.8825648414985591,441.0,23.695962509005767
108,109,1459.0,43.10053939069211,106.60589444825223,0.9662251655629139,525.24,25.860323634415266
115,116,6122.0,88.28800877168239,112.99493629532833,0.7264744274356236,2203.92,52.97280526300943
117,118,1639.0,45.68193968978257,111.42342892007322,0.9523532829750145,590.04,27.40916381386954
119,120,4655.0,76.98655779252753,103.40257787325457,0.8325880879985691,1675.8,46.19193467551652
120,121,2049.0,51.07707731617333,114.18643240605174,0.9438046982957162,737.64,30.646246389703997
121,122,3993.0,71.30249295871431,120.85524668169296,0.7997196074504306,1437.48,42.781495775228585
125,126,6168.0,88.61908096976906,115.53599221789884,0.8470200494369678,2220.48,53.17144858186143
127,128,1429.0,42.65512055341712,106.9965010496851,0.936435124508519,514.4399999999999,25.593072332050273
131,132,3539.0,67.12670667340788,109.45775642836959,0.9595986984815619,1274.04,40.27602400404473
132,133,460.0,24.201036973199617,96.98913043478261,0.8932038834951457,165.6,14.52062218391977
133,134,353.0,21.200319792199185,131.47308781869688,0.8114942528735632,127.08,12.720191875319511
134,135,218.0,16.66031874701878,129.4678899082569,0.6833855799373041,78.48,9.996191248211268
138,139,645.0,28.65727667372076,121.48527131782946,0.8896551724137931,232.2,17.194366004232453
140,141,963.0,35.01613458935697,93.8681204569055,0.7685554668794893,346.68,21.009680753614184
141,142,1313.0,40.887204871906675,112.8994668697639,0.9626099706744868,472.68,24.532322923144005
143,144,1518.0,43.963366896860585,118.09025032938077,0.8566591422121896,546.48,26.37802013811635
144,145,1182.0,38.79393176615336,113.12267343485618,0.7596401028277635,425.52,23.276359059692012
146,147,5433.0,83.17157234624183,115.6788146512056,0.841412420628775,1955.8799999999999,49.9029434077451
162,163,343.0,20.897874625046462,128.41107871720118,0.8147268408551069,123.47999999999999,12.538724775027877
